#Species	Gene_1	Ext_1	Gene_2	Ext_2	Weight
node1	OG6105557_224	h	OG6102999_98	h	0
node1	OG6316316_575	h	OG6100923_27	h	0
node1	OG6163747_549	h	OG6106249_246	h	0
node1	OG6105362_212	h	OG6109243_327	h	0
node1	OG6126300_419	t	OG6108144_306	h	0
node1	OG6130014_461	h	OG6101938_63	t	0
node1	OG6316332_576	h	OG6136448_481	t	0
node1	OG6316334_577	h	OG6315469_566	t	0
node1	OG6132657_471	h	OG6427661_581	t	0
node1	OG6124450_413	h	OG6103652_119	t	0
node1	OG6117755_367	h	OG6116713_366	t	0
node1	OG6136765_495	h	OG6142255_506	t	0
node1	OG6104772_187	t	OG6107907_293	t	0
node1	OG6150894_520	t	OG6112259_348	h	0
node1	OG6104898_193	h	OG6136534_483	h	0
node1	OG6105304_206	h	OG6132684_473	t	0
node1	OG6108144_306	t	OG6104147_149	t	0
node1	OG6107572_285	t	OG6100957_29	h	0
node1	OG6102384_73	t	OG6150740_516	h	0
node1	OG6113402_357	h	OG6104448_170	h	0
node1	OG6105774_233	h	OG6141940_503	t	0
node1	OG6126439_426	t	OG6101432_46	t	0
node1	OG6106561_257	t	OG6163797_551	h	0
node1	OG6150892_519	h	OG6100154_0	t	0
node1	OG6105514_221	t	OG6129298_459	h	0
node1	OG6104079_143	t	OG6104480_173	t	0
node1	OG6129035_450	h	OG6106235_243	t	0
node1	OG6106460_251	t	OG6107930_296	t	0
node1	OG6316286_573	t	OG6109618_332	h	0
node1	OG6101423_44	h	OG6107413_278	t	0
node1	OG6103999_134	h	OG6100189_1	t	0
node1	OG6112849_355	h	OG6116553_362	h	0
node1	OG6112849_355	t	OG6104100_146	h	0
node1	OG6109233_326	h	OG6104562_179	h	0
node1	OG6105507_220	t	OG6101431_45	t	0
node1	OG6132586_466	t	OG6136695_490	h	0
node1	OG6103955_127	t	OG6122646_395	t	0
node1	OG6150846_518	t	OG6106917_266	h	0
node1	OG6129046_451	h	OG6117926_374	h	0
node1	OG6124484_417	t	OG6109207_323	t	0
node1	OG6108140_305	h	OG6109711_334	t	0
node1	OG6184055_562	t	OG6117926_374	t	0
node1	OG6104071_142	t	OG6108140_305	t	0
node1	OG6117755_367	t	OG6122523_387	t	0
node1	OG6102656_86	h	OG6108574_312	t	0
node1	OG6101497_48	h	OG6105368_214	t	0
node1	OG6163079_537	h	OG6103519_116	t	0
node1	OG6163646_548	h	OG6315967_571	t	0
node1	OG6132655_468	t	OG6102557_79	t	0
node1	OG6107399_277	t	OG6117820_371	h	0
node1	OG6124202_402	h	OG6124330_406	t	0
node1	OG6102942_95	t	OG6102134_68	h	0
node1	OG6124219_403	t	OG6102317_72	h	0
node1	OG6109920_337	h	OG6126499_431	h	0
node1	OG6104137_148	h	OG6112839_354	t	0
node1	OG6104373_165	h	OG6107727_287	h	0
node1	OG6100653_17	t	OG6101684_57	t	0
node1	OG6183989_560	h	OG6106940_267	h	0
node1	OG6315469_566	h	OG6122693_398	h	0
node1	OG6129296_458	h	OG6103663_120	h	0
node1	OG6104071_142	h	OG6103965_128	h	0
node1	OG6129065_453	t	OG6126375_422	t	0
node1	OG6104460_171	t	OG6115555_361	h	0
node1	OG6103264_107	t	OG6114651_359	h	0
node1	OG6107366_275	t	OG6104609_183	h	0
node1	OG6109176_321	t	OG6106235_243	h	0
node1	OG6163597_547	h	OG6141943_504	t	0
node1	OG6124301_404	h	OG6104250_160	t	0
node1	OG6100626_15	h	OG6103381_112	t	0
node1	OG6104609_181	t	OG6128920_447	h	0
node1	OG6163097_538	h	OG6132704_474	t	0
node1	OG6101423_44	t	OG6101143_35	h	0
node1	OG6108499_310	h	OG6126667_445	h	0
node1	OG6132342_464	h	OG6109487_331	h	0
node1	OG6109213_324	h	OG6100782_21	h	0
node1	OG6136806_496	h	OG6106318_247	t	0
node1	OG6107078_271	h	OG6103965_128	t	0
node1	OG6108102_304	h	OG6130015_462	h	0
node1	OG6183365_555	t	OG6129238_457	h	0
node1	OG6126664_444	t	OG6126313_421	t	0
node1	OG6102503_78	h	OG6126604_437	t	0
node1	OG6183803_558	t	OG6109017_320	h	0
node1	OG6102836_91	t	OG6116556_363	h	0
node1	OG6103358_110	t	OG6103358_109	t	0
node1	OG6114783_360	h	OG6104979_194	t	0
node1	OG6132655_469	t	OG6132655_468	h	0
node1	OG6129057_452	h	OG6113327_356	h	0
node1	OG6116618_365	t	OG6108363_309	t	0
node1	OG6108587_314	h	OG6316345_578	t	0
node1	OG6107914_294	t	OG6104879_191	t	0
node1	OG6101456_47	h	OG6116713_366	h	0
node1	OG6100220_2	h	OG6106586_259	t	0
node1	OG6105349_210	t	OG6101413_42	h	0
node1	OG6101497_48	t	OG6136811_497	t	0
node1	OG6108295_308	h	OG6126313_421	h	0
node1	OG6107540_281	h	OG6107540_282	t	0
node1	OG6124464_414	t	OG6126301_420	h	0
node1	OG6104182_151	h	OG6100445_9	h	0
node1	OG6163044_536	t	OG6116556_364	t	0
node1	OG6100220_3	h	OG6104100_146	t	0
node1	OG6109711_334	h	OG6104507_174	h	0
node1	OG6108096_302	t	OG6100592_13	t	0
node1	OG6104898_193	t	OG6150894_520	h	0
node1	OG6106561_256	t	OG6109443_330	t	0
node1	OG6124301_404	t	OG6102890_94	t	0
node1	OG6107391_276	h	OG6110753_340	h	0
node1	OG6103358_110	h	OG6124179_400	h	0
node1	OG6101891_61	h	OG6105165_201	t	0
node1	OG6132657_471	t	OG6136695_490	t	0
node1	OG6141913_501	t	OG6111120_343	t	0
node1	OG6114783_360	t	OG6105362_212	t	0
node1	OG6104093_144	t	OG6106616_261	t	0
node1	OG6184039_561	h	OG6427661_581	h	0
node1	OG6163440_544	t	OG6109243_327	t	0
node1	OG6105368_214	h	OG6107931_297	h	0
node1	OG6117798_369	h	OG6151341_529	t	0
